ACTION,NAMES,ROLES,BIO,EVENT DAY,SPEAKING ON,SPEAKER TYPE,CONNECT,TAGS,GOOGLE DRIVE IMAGE LINK
Updated,Dr. Muiz Banire SAN,Principal Partner at M.A. Banire & Associates,"A Senior Advocate of Nigeria (SAN), he is a distinguished legal practitioner with extensive expertise in complex legal matters. He serves as the Principal Partner of his firm, providing strategic counsel and leadership. His work reflects a deep commitment to excellence, advocacy, and the advancement of the legal profession.",Day 1,To Be Announced Closer to the Event ,"Speaker, Special Guest",Https://ng.linkedin.com/in/muiz-banire?utm_source=share&utm_medium=member_mweb&utm_campaign=share_via&utm_content=profile,"Senior Advocate of Nigeria (SAN)
Principal Partner
Legal Practitioner",https://drive.google.com/file/d/1aX4GANAyNj06olh0BYBRys6hxobgz_R4/view?usp=drivesdk
Updated,Mr. Hakeem Shagaya,"Chairman, Asolar Systems",A strategic leader with expertise in delivering scalable solar power solutions across emerging markets. He brings strong corporate governance experience that strengthens organizational transparency and long‑term stability. His work advances sustainable infrastructure development that supports economic growth and environmental resilience.,Day 1,To Be Announced Closer to the Event ,"Speaker, Special Guest",Https://www.linkedin.com/in/hakeem-shagaya-54ab7b3b?lipi=urn%3ali%3apage%3ad_flagship3_profile_view_base_contact_details%3bivptbef0tyufvnh2uz0ysa%3d%3d,"Solar Power Solutions
Corporate Governance
Sustainable Infrastructure",https://drive.google.com/file/d/1zx65HoZ1yqqzVtT2CCbIUEPkijxN9Ac4/view?usp=drivesdk
Updated,Mrs. Toke Benson-Awoyinka,"Lagos State Commissioner for Tourism, Arts & Culture","A versatile public sector executive with a track record of strengthening government institutions and policy frameworks. She has led transformative initiatives in tourism, arts and culture, promoting national identity and creative‑economy expansion. Her legal and policy expertise also drives impactful housing and urban development programs that support sustainable, people‑centered communities.",Day 1,To Be Announced Closer to the Event ,"Speaker, Special Guest",On instagram https://www.instagram.com/bensontoke/?hl=en,"Public Sector Leadership
Tourism, Arts & Culture Administration
Legal & Policy Expertise
Housing & Urban Development",https://drive.google.com/file/d/1G401eayIeaaIsyjseEdTHfUwkK02Xj5h/view?usp=drivesdk
Updated,Mr. Gossy Ukanwoke,"MD, BetKing","A champion of community empowerment, he works to strengthen local systems and expand opportunities for underserved groups. He drives youth‑led transformation by equipping young leaders to shape solutions and influence development outcomes. His commitment to African development fuels impact‑driven initiatives that advance inclusion, resilience, and sustainable progress across the continent.",Day 1,To Be Announced Closer to the Event ,"Speaker, Special Guest","Https://ukanwoke.org/ 
on X @gossyomega 
Instagram @gossyomega","Community Empowerment
Youth‑Led Transformation
African Development
Impact‑Driven Initiatives",https://drive.google.com/file/d/1YiR2i0O_Q3v8WLVhyd7wRj-pozXVT2qs/view?usp=drivesdk
Updated,Mr. Jimi Aina,"Director, New Growth Areas at Lagos State Internal Revenue Service (LIRS)","A public finance professional with deep expertise in tax administration and revenue systems. He strengthens government finance through effective public revenue management, fiscal accountability, and evidence‑based decision‑making. His strong grounding in regulatory compliance supports transparent governance and efficient service delivery across the public sector.",Day 1,To Be Announced Closer to the Event ,"Speaker, Special Guest","Linkedin Https://ng.linkedin.com/in/jimi-aina-534a5645?utm_source=share&utm_medium=member_mweb&utm_campaign=share_via&utm_content=profile  
on Instagram @jimiaina","Tax Administration
Public Revenue Management
Government Finance
Regulatory Compliance",https://drive.google.com/file/d/1YdXcJNXzTkyGvpzGE6URGXwNAGhdGjXe/view?usp=drivesdk
Updated,"Dr. Jumoke Oduwole, MFR","Federal Minister of Industry, Trade & Investment⁣ [FMITI] and Founder at No Limits Nigeria Initiative","Dr. Jumoke Oduwole, MFR is Nigeria’s Honourable Minister of Industry, Trade & Investment and a globally respected trade and investment policy expert. She drives national economic transformation by leading industrial growth, strengthening trade competitiveness, and advancing investor-friendly reforms. As Founder of the No Limits Nigeria Initiative, she champions inclusive development and positions Nigeria as a high-confidence destination for business, innovation, and global partnerships.",Day 1,To Be Announced Closer to the Event ,"Speaker, Special Guest","On LinkedIn - https://www.linkedin.com/in/dr-jumoke-oduwole-1bb4003/?originalSubdomain=ng 
On IG - https://www.instagram.com/joduwole/?hl=en ","Trade & Investment Policy
Economic Development Leadership
Governance & Public Sector Reform
Entrepreneurship & Innovation Advocacy",https://drive.google.com/file/d/1WtH3yr6Owu4KvS2zAS4ATThZAq7joOpu/view?usp=drivesdk
Updated,Mr. Olakunle Olusanya Esq,"Executive Director Public Affairs, Legal & General Secretary West Africa - Fan Milk & Danone","A seasoned Public Affairs leader with deep expertise in corporate communications and stakeholder engagement. He provides strategic guidance on regulatory compliance across complex business environments. As General Counsel, he delivers sound legal leadership that strengthens governance and organizational impact.",Day 1,To Be Announced Closer to the Event ,Guest,Https://www.linkedin.com/in/olakunle-olusanya-8270b41a?lipi=urn%3ali%3apage%3ad_flagship3_profile_view_base_contact_details%3b9zsmsys7tdeqrq6gelza5q%3d%3d,"Public Affairs Leadership
Corporate Communications
Regulatory Compliance
General Counsel (gc) Powerlist",https://drive.google.com/file/d/1RNQBC0v8VLgAV04_6AbMRuE7eWQ489zv/view?usp=drivesdk
Updated,Mr. Idris Alubankudi,Special Adviser to the President on Technology & Digital Economy,A dynamic fintech entrepreneur driving the development of accessible and scalable digital finance solutions. He combines strategic leadership with a strong culture of innovation to transform how individuals and businesses access financial services. His work advances technology‑driven financial inclusion and sustainable growth across emerging markets.,Day 1,To Be Announced Closer to the Event ,"Speaker, Special Guest","Linkedin Https://uk.linkedin.com/in/sirdi?utm_source=share&utm_medium=member_mweb&utm_campaign=share_via&utm_content=profile 
on X @sirdi","Fintech Entrepreneurship
Digital Finance Solutions
Leadership & Innovation",https://drive.google.com/file/d/1MgJP55sOqCmolmtPJ53_NvYHpHz8Apdg/view?usp=drivesdk
No changes,Mr. Bizzle Osikoya,"Founder, The Plug","A strategic leader in the music industry, he helps artists, labels, and entertainment brands navigate an evolving creative economy. His expertise spans entertainment consulting and talent development, guiding creators toward sustainable growth and market relevance. With a data‑driven approach to music insights, he shapes smarter decisions, stronger releases, and high‑impact audience engagement.",Day 1,To Be Announced Closer to the Event ,Speaker,"Linkedin Https://ng.linkedin.com/in/bizzleosikoya?utm_source=share&utm_medium=member_mweb&utm_campaign=share_via&utm_content=profile  
on Instagram @bizzleosikoya","Music Industry Strategy
Entertainment Consulting
Artist & Talent Development
Data‑Driven Music Insights",https://drive.google.com/file/d/1Rw3eFvShg7Aad4EDVaynh0QZrEGs-S2o/view?usp=drivesdk
Updated,Ms. Oyinkansola ‘Foza’ Fawehinmi,"Lead Legal Consultantlead Legal Consultant, Zaeda Oracle Limited","A leader in the creative economy, she works at the intersection of culture, business, and policy to strengthen creative sectors. Her expertise in entertainment law and policy supports fair regulation, industry growth, and the protection of creative rights. Through ecosystem development and strong advocacy for the music and film industries, she drives collaboration, market expansion, and long‑term sector sustainability.",Day 1,To Be Announced Closer to the Event ,Speaker,"Linkedin Https://ng.linkedin.com/in/oyinkansola-fawehinmi?utm_source=share&utm_medium=member_mweb&utm_campaign=share_via&utm_content=profile  
on Instagram @fozadoza","Creative Economy Leadership
Entertainment Law & Policy
Ecosystem Development
Music & Film Industry Advocacy",https://drive.google.com/file/d/13dSEr2eRLZib4NL-82ixz3Rtp9f-KzsJ/view?usp=drivesdk
